,dt,user,lon,lat
5102,22.0,11.0,0.5697995783851597,0.08546474650599323
6604,22.0,14.0,0.564867081731409,0.8592673179052885
8102,22.0,17.0,1.0419972930693164,0.02946134865473149
9604,22.0,20.0,0.19666303670852225,0.1458852272544615
32,23.0,4.0,1.1929583774443673,1.0282645471598122
48,23.0,5.0,1.2572582181702376,0.9929924579201236
2108,23.0,5.0,0.4308588392264944,0.45234842861217783
57,23.0,6.0,1.5997124923812573,1.8276337106917848
2606,23.0,6.0,0.5348153506680893,0.26491412406077053
68,23.0,7.0,1.2443051389770683,1.832600303449102
3110,23.0,7.0,0.9037149759390928,0.09030955197107993
7103,23.0,15.0,0.36779584415699484,0.36927337456038856
49,24.0,5.0,1.257317310587597,0.992938729920794
2109,24.0,5.0,0.4309179316438537,0.45229470061284827
69,24.0,7.0,1.244336152018803,1.8325436417836625
3111,24.0,7.0,0.9038067577788211,0.0902740127016326
4603,24.0,10.0,0.8599499754810621,0.30127382274321635
2607,25.0,6.0,0.5347358902260231,0.2648634135465827
2110,26.0,5.0,0.431101914418469,0.452232925986474
3112,26.0,7.0,0.9040681055197097,0.09026160748493872
77,26.0,8.0,1.172541425925767,1.6128643799619236
9103,26.0,19.0,0.17526291032169872,0.258402594239902
102,27.0,1.0,0.8151800768607936,0.7874657005997014
2111,27.0,5.0,0.4312097895122867,0.45222923794907854
3113,27.0,7.0,0.9041995337614395,0.09027350978744231
78,27.0,8.0,1.1724989296766872,1.6128316905395546
3606,27.0,8.0,1.0971972094687241,0.49436294521998414
81,27.0,9.0,1.3623396074745364,1.1281516244744885
93,27.0,10.0,1.8892912430423032,1.7002038424510544
9605,27.0,20.0,0.19673277414290946,0.14563402161641048
13,28.0,2.0,1.3405837204441409,0.9875231542798942
2112,28.0,5.0,0.43131556913031155,0.4522301599584274
3114,28.0,7.0,0.9043270225086786,0.09029295580280028
5604,28.0,12.0,0.9905625395105438,0.2107882519461538
6605,28.0,14.0,0.5649060575811566,0.8589649826578911
7104,28.0,15.0,0.36740918696369174,0.36904144729963206
603,29.0,2.0,0.7920078893187582,0.08585800440868419
79,29.0,8.0,1.1724143562736864,1.61276061200066
4101,29.0,9.0,0.8078244644252438,0.18882215023040771
4604,29.0,10.0,0.8594544373655607,0.30109587493888457
5103,29.0,11.0,0.5696067946122143,0.08548109121717773
8602,29.0,18.0,0.27468577958643436,0.9026799969548207
2113,30.0,5.0,0.4315358455456596,0.4522551380298786
3115,30.0,7.0,0.9045939861246921,0.09035037183952532
7603,30.0,16.0,0.6182368837528469,0.34967208571424113
9606,30.0,20.0,0.19647042057364028,0.14551835135264324
1103,31.0,3.0,0.5226829444958714,0.47166113080237415
1603,31.0,4.0,0.40948102665412267,0.3469444297832609
3607,31.0,8.0,1.09705823751414,0.49424367073785314
6102,31.0,13.0,1.0136678307564257,0.5736907668460067
6606,31.0,14.0,0.5646480626015367,0.858861633791786
3,32.0,1.0,1.7199747670970142,1.1516124738604934
14,32.0,2.0,1.3403618514671902,0.9874262594792312
33,32.0,4.0,1.1931379178103017,1.0278200548346255
58,32.0,6.0,1.599303790782613,1.8273457084988107
3608,32.0,8.0,1.0970157412650603,0.49421098131548413
94,32.0,10.0,1.8887957049268018,1.7000258946467226
5605,32.0,12.0,0.9909685589001732,0.2107004934199478
604,33.0,2.0,0.7917860203418076,0.08576110960802119
7105,33.0,15.0,0.3668656205430174,0.36883709650030994
9104,33.0,19.0,0.17545804102753215,0.2580956489457602
23,34.0,3.0,1.8898919525810034,1.192104031484316
2114,34.0,5.0,0.4320962595917087,0.4524004802308731
2608,34.0,6.0,0.5343271886273788,0.2645754113536086
3609,34.0,8.0,1.0969311678620595,0.4941399027765895
8103,34.0,17.0,1.042321672722055,0.028942508848413206
9607,34.0,20.0,0.19606658047883552,0.14537292533261703
1604,35.0,4.0,0.4091244604932054,0.3467912924123169
59,35.0,6.0,1.5990525013255303,1.827224589997982
34,36.0,4.0,1.1927813516493844,1.0276669174636814
15,37.0,2.0,1.3398182012274842,0.9872297038498586
2609,37.0,6.0,0.5340758991702961,0.2644542928527799
3116,37.0,7.0,0.90549638182014,0.0905517051537057
8104,37.0,17.0,1.0421015639447704,0.028825162204011656
605,38.0,2.0,0.7912423701021015,0.0855645539786486
2115,38.0,5.0,0.4326863455749851,0.4525387816332035
8603,38.0,18.0,0.2742061670869589,0.9024017177695256
9105,38.0,19.0,0.1752601442936521,0.2579176173223967
2610,39.0,6.0,0.5339017232223915,0.2643521174531188
4605,39.0,10.0,0.8584533866697838,0.3006942141389044
5606,39.0,12.0,0.9917692821101504,0.21088279981392877
6607,39.0,14.0,0.5638824595658483,0.8585924908809479
103,40.0,1.0,0.8149382589542947,0.7869634569616628
2611,40.0,6.0,0.5338129588678049,0.264301993672153
3117,41.0,7.0,0.9060339970895626,0.09065698185754023
9106,41.0,19.0,0.17498806771670394,0.25783337919552274
2612,42.0,6.0,0.5336431415095495,0.26419772279669906
95,42.0,10.0,1.8877946542310249,1.6996242338467424
16,43.0,2.0,1.3390258599206786,0.9869082578632301
3610,43.0,8.0,1.0962394093933123,0.49373195554923066
4606,43.0,10.0,0.8579339601302435,0.3004921264534386
7106,43.0,15.0,0.3659911365851307,0.3684659458278742
7604,43.0,16.0,0.6168610781662704,0.34912600472261535
606,44.0,2.0,0.7904500287952959,0.08524310799202006
2613,44.0,6.0,0.5334849749967026,0.26408884187450077
3611,44.0,8.0,1.0961528243335503,0.49367370132218846
2614,46.0,6.0,0.5333734118654894,0.2639948807399478
3612,46.0,8.0,1.095984767174961,0.49356247346710214
82,46.0,9.0,1.3620313210758872,1.1274675773566591
96,46.0,10.0,1.8872752276914846,1.6994221461612766
7107,46.0,15.0,0.36565443553473,0.3683223638265457
9107,46.0,19.0,0.17457140331004672,0.2576626398279185
9608,46.0,20.0,0.19486511847822707,0.14488937333865093
17,47.0,2.0,1.3384354386612753,0.9866578065964645
1104,47.0,3.0,0.5212851783229855,0.471098956556659
3613,47.0,8.0,1.0959124313505906,0.49351302023839005
4607,47.0,10.0,0.8573722049796869,0.3002677429055365
4,48.0,1.0,1.7184511885575235,1.1509956496060998
607,48.0,2.0,0.7898596075358927,0.08499265672525447
1605,48.0,4.0,0.4077925760792478,0.34625577261868723
2615,48.0,6.0,0.5332809594735073,0.2639152526598182
4102,48.0,9.0,0.8075161780265946,0.1881381031125784
5607,48.0,12.0,0.9929634518549996,0.21114029187935845
6608,48.0,14.0,0.5630321993081273,0.8582558736495789
7605,48.0,16.0,0.6161615245275738,0.34885803527822123
35,49.0,4.0,1.1914494672354268,1.0271313976700518
2116,49.0,5.0,0.4343209843314987,0.4528841160438709
2616,49.0,6.0,0.5332398881479667,0.26388507780840065
3118,49.0,7.0,0.9070848362901784,0.09087859937739573
8105,49.0,17.0,1.0410521496676937,0.028426686527236678
9609,49.0,20.0,0.19444862170963328,0.14473422431094574
24,50.0,3.0,1.8884941864081175,1.191541857238601
3614,50.0,8.0,1.0957385906788129,0.4933994454504157
97,50.0,10.0,1.886713472540928,1.6991977626133745
7108,50.0,15.0,0.365084549938097,0.3681136544375744
18,51.0,2.0,1.3377499666199069,0.9864071038726038
2617,51.0,6.0,0.5331387185766863,0.2638608541082349
6609,51.0,14.0,0.5626680056153239,0.8581084359727915
9610,51.0,20.0,0.19417947879879516,0.14462467283649372
608,52.0,2.0,0.7891741354945242,0.08474195400139373
1606,52.0,4.0,0.40723685589897474,0.3460209116918207
2117,52.0,5.0,0.43467470064533764,0.45295460784954356
2618,52.0,6.0,0.533090187357323,0.2638498738150802
1105,53.0,3.0,0.5205101037367132,0.470773822532635
36,53.0,4.0,1.1908937470551537,1.0268965367431853
2118,53.0,5.0,0.4347729365505081,0.4529466450415306
4608,53.0,10.0,0.8565150715613653,0.30004805322341044
6610,53.0,14.0,0.5624011258183421,0.857981366320711
5,54.0,1.0,1.7176556621275128,1.1506794842184693
2619,54.0,6.0,0.5329994113459753,0.2638324394564834
3119,54.0,7.0,0.907610968352256,0.09095697017204962
6103,54.0,13.0,1.012161938032627,0.5728255029816087
8604,54.0,18.0,0.2727600373327732,0.9018450755799037
1607,55.0,4.0,0.40679747653472265,0.3458533574474216
2620,55.0,6.0,0.5329558254494833,0.2638248119245973
3615,55.0,8.0,1.095407254046442,0.49331143546711453
8106,55.0,17.0,1.0404074974947706,0.028139941619738318
104,56.0,1.0,0.813414680414804,0.7863466327072692
19,56.0,2.0,1.3367883108690362,0.9861854863527483
25,56.0,3.0,1.8877191118218453,1.191216723214577
37,56.0,4.0,1.1904543676909016,1.0267289824987862
3616,56.0,8.0,1.0953261172237414,0.4932841104627753
98,56.0,10.0,1.8858563391226064,1.6989780729312485
9108,56.0,19.0,0.1736646490249496,0.2572852865471358
609,57.0,2.0,0.7882124797436535,0.08452033648153823
3120,57.0,7.0,0.9077782711395599,0.09084800543081961
6611,58.0,14.0,0.5617030809222163,0.8577563960395869
1608,59.0,4.0,0.40622348380553563,0.3457088534367443
3121,59.0,7.0,0.9078594917812921,0.09073535265219412
3617,59.0,8.0,1.095076755604388,0.4932028060020114
6104,59.0,13.0,1.0115510649294852,0.5725877083886322
8107,59.0,17.0,1.0399024040096536,0.02792377233694432
9109,59.0,19.0,0.1732540195885759,0.25712871259589143
1106,60.0,3.0,0.5194768665327576,0.4705368661299756
38,60.0,4.0,1.1898803749617146,1.0265844784881089
3618,60.0,8.0,1.0949944453152436,0.4931761515499259
5608,60.0,12.0,0.9944475516305523,0.21142770733911054
7109,60.0,15.0,0.36354311794485095,0.3678109000950184
2119,61.0,5.0,0.4352602604009014,0.4525557968966417
3122,61.0,7.0,0.9079547940203525,0.09062538208258353
105,62.0,1.0,0.8126191539847932,0.7860304673196388
2120,62.0,5.0,0.43533636808169895,0.452513300647562
7606,62.0,16.0,0.6140886798732521,0.3485100186585389
8108,62.0,17.0,1.0395104662173524,0.027787063496216513
9611,62.0,20.0,0.19270049198417705,0.14426399954302238
26,63.0,3.0,1.8866858746178896,1.1909797668119175
2621,63.0,6.0,0.5326103234007524,0.26373856214096214
